relation_type	source_name	source_type	source_id	target_name	target_type	target_id	key_sentence	pmid	resource
Hetionet::DuG::Disease:Gene	IL-10	Gene	ENTREZ:3586	chronic fatigue syndrome	Disease	MONDO:0005404	IL-10 levels were higher in the patients with abnormal spinal fluids than in those with normal fluid or controls	15642984	CustomDB
GNBR::Pa::Compound:Disease	long COVID	Disease	MONDO:0100233	Magnesium	Compound	DrugBank:DB14513	Intriguingly, populations exhibiting low magnesium ion levels were found to be more susceptible to COVID-19, and magnesium supplementation has shown benefits in SARS-CoV-2 therapy, ME/CFS, and in maintaining endothelial cell function.	36043493	CustomDB
GNBR::J::Compound:Disease	chronic fatigue syndrome	Disease	MONDO:0005404	Vitamin E	Compound	DrugBank:DB00163	 In relation to the long COVID-19 problem, it was reported that a low level of serum alpha-tocopherol(Vitamin E) improved during the remission phase, as compared to the exacerbation phase, in patients with chronic fatigue syndrome.	35454144	CustomDB
Hetionet::DdG::Disease:Gene	IL-7	Gene	ENTREZ:3574	ME/CFS	Disease	MONDO:0005404	In combination with previous data, our work suggests that the clustered reduction of IL-7, IL-16 and VEGF-A may have physiological relevance to ME/CFS disease.	26615570	CustomDB
HSDN::has_symptom:Disease:Phenotype	lethargy	Phenotype	SYMP:0000075	long COVID	Disease	MONDO:0100233	Among the reported symptoms, 59% of patients experienced fatigue or lethargy, 48.9% reported decreased stamina, 32.6% reported shortness of breath, 16.8% had a persistent cough, and 23.7% experienced anxiety following recovery from COVID-19.	37128534	CustomDB
GNBR::T::Compound:Disease	long COVID	Disease	MONDO:0100233	Fluvoxamine	Compound	DrugBank:DB00176	It is proposed that the potent sigma-1 receptor agonist fluvoxamine [a selective serotonin reuptake inhibitor (SSRI)] may be a potential therapeutic drug for long COVID.	37402856	CustomDB
GNBR::Pa::Compound:Disease	chronic fatigue syndrome	Disease	MONDO:0005404	Oxaloacetate Ion	Compound	DrugBank:DB02637	Potential clinical applications with anhydrous enol-oxaloacetate, currently a commercial nutritional supplement, may help reduce fatigue in ME/CFS and Long-COVID patients.	35764955	CustomDB
GNBR::Pa::Compound:Disease	chronic fatigue syndrome	Disease	MONDO:0005404	Tocilizumab	Compound	DrugBank:DB06273	34588793	34588793	CustomDB
Hetionet::DpS::Disease:Phenotype	chronic fatigue syndrome	Disease	MONDO:0005404	breathing problems	Phenotype	SYMP:0000868	TABLE 3 Comparison of symptoms, ME/CFS, and Long COVID.	37342500	CustomDB
GNBR::T::Compound:Disease	long COVID	Disease	MONDO:0100233	Clopidogrel	Compound	DrugBank:DB00758	Long COVID patients might be treated by one month of dual antiplatelet therapy (DAPT) (Clopidogrel 75 mg/Aspirin 75 mg) once a day.	35195253	CustomDB
GNBR::T::Compound:Disease	long COVID	Disease	MONDO:0100233	Nitroaspirin	Compound	DrugBank:DB12445	 Long COVID patients might be treated by one month of dual antiplatelet therapy (DAPT) (Clopidogrel 75 mg/Aspirin 75 mg) once a day.	35195253	CustomDB
GNBR::T::Compound:Disease	long COVID	Disease	MONDO:0100233	Pantoprazole	Compound	DrugBank:DB00213	Long COVID patients might be treated by one month of a proton pump inhibitor (PPI) (e.g. pantoprazole 40 mg/day for gastric protection).	35195253	CustomDB
GNBR::J::Compound:Disease	chronic fatigue syndrome	Disease	MONDO:0005404	Magnesium	Compound	DrugBank:DB14513	Latent magnesium deficiency is associated with myalgic encephalomyelitis/chronic fatigue syndrome(ME/CFS).	35454144	CustomDB
Hetionet::DpS::Disease:Phenotype	long COVID	Disease	MONDO:0100233	Diarrhea	Phenotype	SYMP:0000570	These symptoms include fatigue, cognitive problems, headaches, disrupted sleep, myalgias and arthralgias, post-exertional malaise, orthostatic intolerance, tachyarrhythmias and gastrointestinal complaints such as diarrhea.	37342500	CustomDB
Hetionet::DdG::Disease:Gene	granulocyte-macrophage colony-stimulating factor	Gene	ENTREZ:1437	chronic fatigue syndrome	Disease	MONDO:0005404	levels of granulocyte-macrophage colony-stimulating factor were lower in patients than controls	15642984	CustomDB
HSDN::has_symptom:Disease:Phenotype	concentration impairment	Phenotype	SYMP:0020029	long COVID	Disease	MONDO:0100233	Over 60 physical and psychological signs and symptoms with wide prevalence were reported, most commonly weakness (41%; 95% CI 25% to 59%), general malaise (33%; 95% CI 15% to 57%), fatigue (31%; 95% CI 24% to 39%), concentration impairment (26%; 95% CI 21% to 32%) and breathlessness (25%; 95% CI 18% to 34%).	34580069	CustomDB
PrimeKG::associated_with:Gene:Disease	CD26	Gene	ENTREZ:1803	ME/CFS	Disease	MONDO:0005404	In ME/CFS patients, severe alterations of the muscle excitability, the redox status, as well as the CD26-expression level are correlated with a marked impairment of the quality-of-life.	27580693	CustomDB
GNBR::T::Compound:Disease	chronic fatigue syndrome	Disease	MONDO:0005404	Metformin	Compound	DrugBank:DB00331	Other drugs being studied for use in ME/CFS or Long COVID include metformin , fenofibrate (which is somewhat protective against reperfusion injury, and low-dose naltrexone.	36043493	CustomDB
GNBR::T::Compound:Disease	chronic fatigue syndrome	Disease	MONDO:0005404	Fenofibrate	Compound	DrugBank:DB01039	 Other drugs being studied for use in ME/CFS or Long COVID include metformin , fenofibrate (which is somewhat protective against reperfusion injury, and low-dose naltrexone.	36043493	CustomDB
GNBR::T::Compound:Disease	chronic fatigue syndrome	Disease	MONDO:0005404	Naltrexone	Compound	DrugBank:DB00704	Other drugs being studied for use in ME/CFS or Long COVID include metformin , fenofibrate (which is somewhat protective against reperfusion injury, and low-dose naltrexone.	36043493	CustomDB
Hetionet::DpS::Disease:Phenotype	long COVID	Disease	MONDO:0100233	Chills	Phenotype	SYMP:0019174	TABLE 3 Comparison of symptoms, ME/CFS, and Long COVID.	37342500	CustomDB
Hetionet::DlA::Disease:Anatomy	lungs	Anatomy	MESH:D008168	long COVID	Disease	MONDO:0100233	Postacute sequelae of SARS-CoV-2 infection (PASC) include injury to the lungs, heart, kidneys, and brain that may produce a variety of symptoms.	34175230	CustomDB
Hetionet::DpS::Disease:Phenotype	long COVID	Disease	MONDO:0100233	Orthostatic Intolerance	Phenotype	MESH:D054971	These symptoms include fatigue, cognitive problems, headaches, disrupted sleep, myalgias and arthralgias, post-exertional malaise, orthostatic intolerance, tachyarrhythmias and gastrointestinal complaints such as diarrhea.	37342500	CustomDB
GNBR::Md::Gene:Disease	IgM	Gene	ENTREZ:959	long COVID	Disease	MONDO:0100233	We discover an immunoglobulin (Ig) signature, based on total IgM and IgG3 levels, which - combined with age, history of asthma bronchiale, and five symptoms during primary infection - is able to predict the risk of PACS independently of timepoint of blood sampling.	35078982	CustomDB
Hetionet::DuG::Disease:Gene	ATP synthase subunit beta (ATPB)	Gene	ENTREZ:506	Chronic fatigue syndrome (CFS)	Disease	MONDO:0005404	Results for ATPB and ACON confirmed their upregulation in CFS.	27676445	CustomDB
GNBR::Md::Gene:Disease	IgG3	Gene	ENTREZ:3502	long COVID	Disease	MONDO:0100233	We discover an immunoglobulin (Ig) signature, based on total IgM and IgG3 levels, which - combined with age, history of asthma bronchiale, and five symptoms during primary infection - is able to predict the risk of PACS independently of timepoint of blood sampling.	35078982	CustomDB
Hetionet::DrD::Disease:Disease	Orthostatic intolerance	Disease	MONDO:0011479	myalgic encephalomyelitis/chronic fatigue syndrome	Disease	MONDO:0005404	Orthostatic intolerance (OI) is a core diagnostic criterion in myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS).	37303862	CustomDB
GNBR::T::Compound:Disease	chronic fatigue syndrome	Disease	MONDO:0005404	Hydrocortisone	Compound	DrugBank:DB00741	Low levels of cortisol have also been reported for myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS) and treatment with hydrocortisone is reported to elicit modest improvement in symptoms.	35982667	CustomDB
GNBR::Pa::Compound:Disease	chronic fatigue syndrome	Disease	MONDO:0005404	Folic acid	Compound	DrugBank:DB00158	Patients with ME/CFS respond positively to oral folic acid.	35056324	CustomDB
GNBR::Md::Gene:Disease	transient receptor potential melastatin 3 (TRPM3)	Gene	ENTREZ:80036	ME/CFS	Disease	MONDO:0005404	Collectively, these findings validate that TRPM3 loss of function results in altered Ca2+ influx supporting the growing evidence that ME/CFS is a TRP ion channel disorder and that NTX provides a potential therapeutic intervention for ME/CFS.	35172836	CustomDB
GNBR::Md::Gene:Disease	IgM	Gene	ENTREZ:69169	long COVID	Disease	MONDO:0100233	Based on these factors, we propose diagnostic strategies such as the measurement of IgG and IgM antibodies against SARS-CoV-2, EBV, HHV-6, viral superantigens, gut microbiota, and biomarkers of autoimmunity to better understand and manage this multi-factorial disorder that continues to affect millions of people in the world.	36851614	CustomDB
GNBR::Md::Gene:Disease	chronic fatigue syndrome	Disease	MONDO:0005404	CXCL8	Gene	ENTREZ:3576	The gene ontology analysis of common genes (CXCL8, B2M, SOD1, BCL2, EGF, SERPINE1, S100A8, S100A9, and HMGB1).	36189286	CustomDB
GNBR::Md::Gene:Disease	chronic fatigue syndrome	Disease	MONDO:0005404	B2M	Gene	ENTREZ:567	The gene ontology analysis of common genes (CXCL8, B2M, SOD1, BCL2, EGF, SERPINE1, S100A8, S100A9, and HMGB1).	36189286	CustomDB
GNBR::Md::Gene:Disease	chronic fatigue syndrome	Disease	MONDO:0005404	SOD1	Gene	ENTREZ:6647	The gene ontology analysis of common genes (CXCL8, B2M, SOD1, BCL2, EGF, SERPINE1, S100A8, S100A9, and HMGB1).	36189286	CustomDB
GNBR::Md::Gene:Disease	chronic fatigue syndrome	Disease	MONDO:0005404	BCL2	Gene	ENTREZ:596	The gene ontology analysis of common genes (CXCL8, B2M, SOD1, BCL2, EGF, SERPINE1, S100A8, S100A9, and HMGB1).	36189286	CustomDB
GNBR::Md::Gene:Disease	chronic fatigue syndrome	Disease	MONDO:0005404	EGF	Gene	ENTREZ:1950	The gene ontology analysis of common genes (CXCL8, B2M, SOD1, BCL2, EGF, SERPINE1, S100A8, S100A9, and HMGB1).	36189286	CustomDB
GNBR::Md::Gene:Disease	chronic fatigue syndrome	Disease	MONDO:0005404	SERPINE1	Gene	ENTREZ:5054	The gene ontology analysis of common genes (CXCL8, B2M, SOD1, BCL2, EGF, SERPINE1, S100A8, S100A9, and HMGB1).	36189286	CustomDB
GNBR::T::Compound:Disease	long COVID	Disease	MONDO:0100233	Naltrexone	Compound	DrugBank:DB00704	Other drugs being studied for use in ME/CFS or Long COVID include metformin , fenofibrate (which is somewhat protective against reperfusion injury, and low-dose naltrexone.	36043493	CustomDB
GNBR::Mp::Compound:Disease	long COVID	Disease	MONDO:0100233	Homocysteine	Compound	DrugBank:DB04422	Long COVID may be associated with an elevation of the biomarker homocysteine(Hcy) with resulting hyperhomocysteinemia (HHcy).	35056324	CustomDB
GNBR::Pa::Compound:Disease	long COVID	Disease	MONDO:0100233	Folic acid	Compound	DrugBank:DB00158	Patients with Long COVID respond positively to oral folic acid.	35056324	CustomDB
GNBR::Pa::Compound:Disease	long COVID	Disease	MONDO:0100233	Prednisone	Compound	DrugBank:DB00635	Small doses of prednisone block inflammation in Long COVID.	35056324	CustomDB
GNBR::T::Compound:Disease	long COVID	Disease	MONDO:0100233	Omega-3 fatty acids	Compound	DrugBank:DB11133	Long chain omega-3 polyunsaturated fatty acids (omega-3 PUFAs) has therefore been suggested to deal with Long COVID.	35390469	CustomDB
GNBR::Pr::Compound:Disease	long COVID	Disease	MONDO:0100233	Quercetin	Compound	DrugBank:DB04216	Natural substances contained in fruit and vegetables, such as quercetin has the effect of limiting the cytokine storm that occurs in patients with persistent inflammation and autoimmunity that may occur in long COVID-19.	35454144	CustomDB
GNBR::Pr::Compound:Disease	long COVID	Disease	MONDO:0100233	Sulforaphane	Compound	DrugBank:DB12422	 Natural substances contained in fruit and vegetables, such as sulforaphane has the effect of limiting the cytokine storm that occurs in patients with persistent inflammation and autoimmunity that may occur in long COVID-19.	35454144	CustomDB
GNBR::Pr::Compound:Disease	long COVID	Disease	MONDO:0100233	Curcumin	Compound	DrugBank:DB11672	 Natural substances contained in fruit and vegetables, such as curcumin has the effect of limiting the cytokine storm that occurs in patients with persistent inflammation and autoimmunity that may occur in long COVID-19.	35454144	CustomDB
GNBR::Pr::Compound:Disease	long COVID	Disease	MONDO:0100233	Modafinil	Compound	DrugBank:DB00745	Modafinil can be a safe and effective intervention in combating fatigue associated with the Long COVID.	35761861	CustomDB
GNBR::Md::Gene:Disease	long COVID	Disease	MONDO:0100233	SERPINE1	Gene	ENTREZ:5054	 The gene ontology analysis of common genes (CXCL8, B2M, SOD1, BCL2, EGF, SERPINE1, S100A8, S100A9, and HMGB1).	36189286	CustomDB
Hetionet::DdG::Disease:Gene	VEGF-A	Gene	ENTREZ:7422	ME/CFS	Disease	MONDO:0005404	In combination with previous data, our work suggests that the clustered reduction of IL-7, IL-16 and VEGF-A may have physiological relevance to ME/CFS disease.	26615570	CustomDB
Hetionet::DuG::Disease:Gene	interleukin-8 (IL-8)	Gene	ENTREZ:3576	chronic fatigue syndrome	Disease	MONDO:0005404	levels of interleukin-8 (IL-8) were higher in patients with sudden, influenza-like onset than in patients with gradual onset or in controls	15642984	CustomDB
Hetionet::DrD::Disease:Disease	long COVID	Disease	MONDO:0100233	Primary Ovarian Insufficiency	Disease	MONDO:0005387	LC may be associated with disruptions to the menstrual cycle, gonadal function, ovarian insufficiency, premature menopause, and fertility problems.	37234076	CustomDB
GNBR::Md::Gene:Disease	IL-12p70	Gene	ENTREZ:3593	ME/CFS	Disease	MONDO:0005404	Seventeen cytokines had a statistically significant upward linear trend that correlated with ME/CFS severity: CCL11 (Eotaxin-1), CXCL1 (GROα), CXCL10 (IP-10), IFN-γ, IL-4, IL-5, IL-7, IL-12p70, IL-13, IL-17F, leptin, G-CSF, GM-CSF, LIF, NGF, SCF, and TGF-α.	28760971	CustomDB
GNBR::Md::Gene:Disease	IL-17F	Gene	ENTREZ:112744	ME/CFS	Disease	MONDO:0005404	Seventeen cytokines had a statistically significant upward linear trend that correlated with ME/CFS severity: CCL11 (Eotaxin-1), CXCL1 (GROα), CXCL10 (IP-10), IFN-γ, IL-4, IL-5, IL-7, IL-12p70, IL-13, IL-17F, leptin, G-CSF, GM-CSF, LIF, NGF, SCF, and TGF-α.	28760971	CustomDB
GNBR::Md::Gene:Disease	G-CSF	Gene	ENTREZ:1440	ME/CFS	Disease	MONDO:0005404	Seventeen cytokines had a statistically significant upward linear trend that correlated with ME/CFS severity: CCL11 (Eotaxin-1), CXCL1 (GROα), CXCL10 (IP-10), IFN-γ, IL-4, IL-5, IL-7, IL-12p70, IL-13, IL-17F, leptin, G-CSF, GM-CSF, LIF, NGF, SCF, and TGF-α.	28760971	CustomDB
GNBR::Md::Gene:Disease	long COVID	Disease	MONDO:0100233	S100A9	Gene	ENTREZ:6280	The gene ontology analysis of common genes (CXCL8, B2M, SOD1, BCL2, EGF, SERPINE1, S100A8, S100A9, and HMGB1).	36189286	CustomDB
GNBR::Md::Gene:Disease	long COVID	Disease	MONDO:0100233	HMGB1	Gene	ENTREZ:3146	 The gene ontology analysis of common genes (CXCL8, B2M, SOD1, BCL2, EGF, SERPINE1, S100A8, S100A9, and HMGB1).	36189286	CustomDB
GNBR::Md::Gene:Disease	long COVID	Disease	MONDO:0100233	CD8A	Gene	ENTREZ:925	According to the degree in the PPI network, the top 5 hub proteins as IL-6, IL-1B, CD8A, TP53, and CXCL8 were listed through the cytoHubba plugin.	36189286	CustomDB
GNBR::Md::Gene:Disease	long COVID	Disease	MONDO:0100233	CXCL8	Gene	ENTREZ:3576	The gene ontology analysis of common genes (CXCL8, B2M, SOD1, BCL2, EGF, SERPINE1, S100A8, S100A9, and HMGB1).	36189286	CustomDB
Hetionet::DpS::Disease:Phenotype	long COVID	Disease	MONDO:0100233	decreased appetite	Phenotype	SYMP:0000245	TABLE 3 Comparison of symptoms, ME/CFS, and Long COVID.	37342500	CustomDB
Hetionet::DpS::Disease:Phenotype	long COVID	Disease	MONDO:0100233	palpitation	Phenotype	SYMP:0000530	TABLE 3 Comparison of symptoms, ME/CFS, and Long COVID.	37342500	CustomDB
Hetionet::DpS::Disease:Phenotype	long COVID	Disease	MONDO:0100233	malaise	Phenotype	SYMP:0019176	TABLE 3 Comparison of symptoms, ME/CFS, and Long COVID.	37342500	CustomDB
Hetionet::DpS::Disease:Phenotype	long COVID	Disease	MONDO:0100233	breathing problems	Phenotype	SYMP:0000868	TABLE 3 Comparison of symptoms, ME/CFS, and Long COVID.	37342500	CustomDB
Hetionet::DpS::Disease:Phenotype	long COVID	Disease	MONDO:0100233	rash	Phenotype	SYMP:0000487	TABLE 3 Comparison of symptoms, ME/CFS, and Long COVID.	37342500	CustomDB
Hetionet::DpS::Disease:Phenotype	long COVID	Disease	MONDO:0100233	hair loss	Phenotype	SYMP:0000440	TABLE 3 Comparison of symptoms, ME/CFS, and Long COVID.	37342500	CustomDB
GNBR::Md::Gene:Disease	chronic fatigue syndrome	Disease	MONDO:0005404	HMGB1	Gene	ENTREZ:3146	 The gene ontology analysis of common genes (CXCL8, B2M, SOD1, BCL2, EGF, SERPINE1, S100A8, S100A9, and HMGB1).	36189286	CustomDB
GNBR::Md::Gene:Disease	chronic fatigue syndrome	Disease	MONDO:0005404	CD8A	Gene	ENTREZ:925	 According to the degree in the PPI network, the top 5 hub proteins as IL-6, IL-1B, CD8A, TP53, and CXCL8 were listed through the cytoHubba plugin.	36189286	CustomDB
Hetionet::DpS::Disease:Phenotype	long COVID	Disease	MONDO:0100233	Headache	Phenotype	SYMP:0000504	TABLE 3 Comparison of symptoms, ME/CFS, and Long COVID.	37342500	CustomDB
GNBR::Md::Gene:Disease	chronic fatigue syndrome	Disease	MONDO:0005404	TP53	Gene	ENTREZ:7157	According to the degree in the PPI network, the top 5 hub proteins as IL-6, IL-1B, CD8A, TP53, and CXCL8 were listed through the cytoHubba plugin.	36189286	CustomDB
Hetionet::DaG::Disease:Gene	chronic fatigue syndrome	Disease	MONDO:0005404	CDON	Gene	ENTREZ:50937	Combinatorial analysis revealed 199 SNPs mapping to 14 genes that were significantly associated with 91% of the cases in the ME/CFS population.	36517845	CustomDB
GNBR::T::Compound:Disease	long COVID	Disease	MONDO:0100233	Human immunoglobulin G	Compound	DrugBank:DB00028	IgG is highly effective for a proportion of patients with severe and well-characterised ME/CFS.	34828592	CustomDB
Hetionet::DaG::Disease:Gene	chronic fatigue syndrome	Disease	MONDO:0005404	INSR	Gene	ENTREZ:3643	Combinatorial analysis revealed 199 SNPs mapping to 14 genes that were significantly associated with 91% of the cases in the ME/CFS population.	36517845	CustomDB
Hetionet::DaG::Disease:Gene	chronic fatigue syndrome	Disease	MONDO:0005404	SULF2	Gene	ENTREZ:55959	Combinatorial analysis revealed 199 SNPs mapping to 14 genes that were significantly associated with 91% of the cases in the ME/CFS population.	36517845	CustomDB
Hetionet::DrD::Disease:Disease	long COVID	Disease	MONDO:0100233	Oligomenorrhea	Disease	MESH:D009839	See Figure 1 for a summary of the female reproductive conditions we review in Long COVID, ME/CFS, POTS, and EDS.	37234076	CustomDB
Hetionet::DpS::Disease:Phenotype	long COVID	Disease	MONDO:0100233	insomnia	Phenotype	SYMP:0000571	Multiple organ systems are affected, such as psychological or psychiatric (insomnia, anxiety and depression), neurological (cognitive impairments involving memory and concentration, headache, dizziness and peripheral neuropathy), ear, nose, and throat (rhinorrhoea, smell and taste alterations, earache, tinnitus, cough, and sore throat), respiratory (dyspnoea and cough), cardiovascular (chest pain, palpitations and tachycardia), gastrointestinal (abdominal pain, nausea and diarrhoea), generalised (chills, pain and fever) and musculoskeletal (fatigue, myalgia and joint pain).	34888989	CustomDB
Hetionet::DrD::Disease:Disease	long COVID	Disease	MONDO:0100233	ovarian dysfunction	Disease	MONDO:0001889	See Figure 1 for a summary of the female reproductive conditions we review in Long COVID, ME/CFS, POTS, and EDS.	37234076	CustomDB
Hetionet::DpS::Disease:Phenotype	long COVID	Disease	MONDO:0100233	Cough	Phenotype	SYMP:0000614	TABLE 3 Comparison of symptoms, ME/CFS, and Long COVID.	37342500	CustomDB
Hetionet::DrD::Disease:Disease	long COVID	Disease	MONDO:0100233	Premenstrual Syndrome	Disease	MONDO:0004169	See Figure 1 for a summary of the female reproductive conditions we review in Long COVID, ME/CFS, POTS, and EDS.	37234076	CustomDB
Hetionet::DpS::Disease:Phenotype	long COVID	Disease	MONDO:0100233	anxiety	Phenotype	SYMP:0000412	Multiple organ systems are affected, such as psychological or psychiatric (insomnia, anxiety and depression), neurological (cognitive impairments involving memory and concentration, headache, dizziness and peripheral neuropathy), ear, nose, and throat (rhinorrhoea, smell and taste alterations, earache, tinnitus, cough, and sore throat), respiratory (dyspnoea and cough), cardiovascular (chest pain, palpitations and tachycardia), gastrointestinal (abdominal pain, nausea and diarrhoea), generalised (chills, pain and fever) and musculoskeletal (fatigue, myalgia and joint pain).	34888989	CustomDB
Hetionet::DpS::Disease:Phenotype	long COVID	Disease	MONDO:0100233	depression	Phenotype	SYMP:0000022	Multiple organ systems are affected, such as psychological or psychiatric (insomnia, anxiety and depression), neurological (cognitive impairments involving memory and concentration, headache, dizziness and peripheral neuropathy), ear, nose, and throat (rhinorrhoea, smell and taste alterations, earache, tinnitus, cough, and sore throat), respiratory (dyspnoea and cough), cardiovascular (chest pain, palpitations and tachycardia), gastrointestinal (abdominal pain, nausea and diarrhoea), generalised (chills, pain and fever) and musculoskeletal (fatigue, myalgia and joint pain).	34888989	CustomDB
