resource	label	id	name	synonyms	description	xrefs	taxid
WikiPathways	Pathway	WikiPathways:WP138	Androgen receptor signaling pathway		Androgens, mainly testosterone and 5alpha-dihydrotestosterone (DHT) play significant role in the growth and development of the male reproductive organs. These steroid hormones bring about their biological functions through their associations with Androgen receptor (AR), a 110 KDa ligand dependent transcription factor that falls under the group of nuclear receptor superfamily. DHT binds the receptor with high affinity compared to testosterone. The AR gene is located in the X chromosome at Xq11-12 site. AR is cytosolic protein, which in the ligand unbound state, is present as a complex with various Heat shock proteins primarily Hsp70, 90 and 56 as well as p23. Upon ligand binding, it dissociates from the complex. AR is found to be expressed in a number of tissues and cells including prostate, testis, seminal vesicle, epididymis, skin, skeletal muscle, cardiac muscle, liver and central nervous system. The protein has four functional domains- an N terminal domain (NTD), a DNA binding domain (DBD), a hinge region and a Ligand binding Domain (LBD). The DBD is a 658 amino acid residue region that has ZNF motifs which allows it bind to DNA. The rest of the domains are involved in dimerization and ligand binding. Two phosphorylation events are proposed to play very important role in the activation of the receptor upon ligand binding. The first phosphorylation event releases the ligand binding domain for hormone binding. The subsequent phosphorylation event is triggered upon hormone binding. Activated AR upon ligand binding undergoes conformational change to form a homodimer and interacts tightly with the Androgen Response Element (ARE). The androgen receptor is known to bind to many co-regulators at different time points and in different cell types. This DNA protein complex triggers the expression of various target genes that are associated with the male phenotype. Modulation of the AR activity is carried out by several transcription factors like ARA70, TR4, SRC family members and CBP/p300 and other associated proteins. FXXLF and WXXLF motifs containing coactivators such as the p160 members bind with the AF2 region of the Ligand Binding Domain of the AR. Androgen receptors are known to induce apoptosis under certain conditions. Various regulators that regulate androgen induced apoptosis include BRCA1 and Smad3 and Akt. Mutation in AR are also known to be associated in a number of diseases including spinal and bulbar muscular atrophy (SBMA) or Kennedy's disease and Androgen Insensitivity syndrome (AIS). Abnormal amplification of the androgen gene as well as deregulation of AR gene expression have been shown to be associated with prostate cancer.Please access this pathway at [http://www.netpath.org/netslim/ar_pathway.html NetSlim] database.If you use this pathway, please cite following paper:Kandasamy, K., Mohan, S. S., Raju, R., Keerthikumar, S., Kumar, G. S. S., Venugopal, A. K., Telikicherla, D., Navarro, J. D., Mathivanan, S., Pecquet, C., Gollapudi, S. K., Tattikota, S. G., Mohan, S., Padhukasahasram, H., Subbannayya, Y., Goel, R., Jacob, H. K. C., Zhong, J., Sekhar, R., Nanjappa, V., Balakrishnan, L., Subbaiah, R., Ramachandra, Y. L., Rahiman, B. A., Prasad, T. S. K., Lin, J., Houtman, J. C. D., Desiderio, S., Renauld, J., Constantinescu, S. N., Ohara, O., Hirano, T., Kubo, M., Singh, S., Khatri, P., Draghici, S., Bader, G. D., Sander, C., Leonard, W. J. and Pandey, A. (2010). NetPath: A public resource of curated signal transduction pathways. <i>Genome Biology</i>. 11:R3.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP138 CPTAC Assay Portal]		9606
WikiPathways	Pathway	WikiPathways:WP1403	AMP-activated protein kinase signaling		AMPK signaling pathway, a fuel sensor and regulator, promotes ATP-producing and inhibits ATP-consuming pathways in various tissues. AMPK is a heterotrimer composed of alpha-catalytic and beta and gamma-regulatory subunits. Humans and rodents have two alpha and beta and three gamma isoforms; some genes are subject to alternative splicing increasing the range of possible heterotrimer combinations. Cellular stresses that inhibit ATP production or increase its consumption change the AMP:ATP ratio and activate the pathway. AMPK activation by AMP is not completely understood; the current model states that binding of AMP to the gamma subunit leads to conformational changes that allosterically activate AMPK and render phosphorylated-Thr172 unavailable for inhibitory dephosphorylation. ATP antagonizes the effect of AMP; both AMP and ATP bind in a mutually exclusive manner to the Bateman (CBS) domains of the gamma subunit. The upstream kinase, known as Lkb1, is a complex of one catalytic and two regulatory subunits; Lkb1 is believed to be 'constitutively active'. In certain cell types, Thr172 can be phosphorylated by calmodulin-dependent protein kinase kinases (CAmKK), in turn activated by calcium. A well known role of AMPK is in the regulation of lipid metabolism; it stimulates fatty acids oxidation and inhibits their synthesis. Phosphorylation by AMPK inhibits acetyl-CoA carboxylase (ACC) and results in reduced levels of malonyl-CoA product. Malonyl CoA is a substrate in the de novo synthesis of fatty acids and fatty acids elongation. Importantly, it is also an inhibitor of the carnitine palmitoyl transferase I, required for the transfer of primed cytosolic fatty acids into the mitochondrion where they can undergo degradative beta-oxidation. AMPK inhibits mTOR signaling pathway by activating Tsc2 and downstream of Tsc2 by inhibiting Raptor component of mTOR complex 1 [note that this effect is opposite to Tsc2 phosphorylation and inactivation by PI3K-Akt signaling downstream of insulin]. AMPK is also involved in promoting glucose uptake and utilization and integrates adipokynes and hormonal signals in both the hypothalamus and the periphery with potential impact on energy expenditure and uptake by molecular mechanisms that remain to be established. Due to its roles in fuel regulation, the AMPK pathway is regarded as a potential therapeutic target for diabetes type II, obesity and metabolic syndrome. As a note, drugs used in the treatment of insulin resistance and diabetes can activate AMPK.AMP-activated protein kinase (AMPK) plays a key role as a master regulator of cellular energy homeostasis. The kinase is activated in response to stresses that deplete cellular ATP supplies such as low glucose, hypoxia, ischemia and heat shock. It exists as a heterotrimeric complex composed of a catalytic α subunit and regulatory β and γ subunits. Binding of AMP to the γ subunit allosterically activates the complex, making it a more attractive substrate for its major upstream AMPK kinase, LKB1. Several studies indicate that signaling through adiponectin, leptin and CAMKKβ may also be important in activating AMPK.As a cellular energy sensor responding to low ATP levels, AMPK activation positively regulates signaling pathways that replenish cellular ATP supplies. For example, activation of AMPK enhances both the transcription and translocation of GLUT4, resulting in an increase in insulin-stimulated glucose uptake. In addition, it also stimulates catabolic processes such as fatty acid oxidation and glycolysis via inhibition of ACC and activation of PFK2. AMPK negatively regulates several proteins central to ATP consuming processes such as TORC2, glycogen synthase, SREBP-1 and TSC2, resulting in the downregulation or inhibition of gluconeogenesis, glycogen, lipid and protein synthesis. Due to its role as a central regulator of both lipid and glucose metabolism, AMPK is considered to be a key therapeutic target for the treatment of obesity, type II diabetes mellitus, and cancer.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP1403 CPTAC Assay Portal]		9606
WikiPathways	Pathway	WikiPathways:WP1422	Sphingolipid pathway		The sphingolipid metabolites and genes (with the gene abbreviations shown in boxes, or enzyme names where gene names are ambiguous) are given for the condensation of serine and palmitoyl-CoA to form 3-ketosphinganine (3-ketoSa) by serine palmitoyltransferase, which is reduced to sphinganine (Sa), acylated to dihydroceramides, DHCer, by (DH)Cer synthases, and incorporated into more complex DH-sphingolipids (the 1-phosphate, DHCerP, sphingomyelins, DHSM, glucosylceramides, DHGlcCer, galactosylceramides, DHGalCer, lactosylceramides, DHLacCer, and sulfatides, or desaturated to Cer followed by headgroup addition. Also included are a number of the catabolic genes, e.g., sphingomyelinases, SMases, ceramidases, ASAH, sphingosine kinases, for the formation of sphinganine 1-phosphate (Sa1P) and sphingosine 1-phosphate (So1P), and phosphatases for the reverse reaction and the lyase that cleaves sphingoid base 1-phosphates to ethanolamine phosphate (EP), hexadecanal (C16:0al) and hexadecenal (C16:1al).This pathway has been updated with information from Lipidmaps>Sphingolipids [https://lipidmaps.org/resources/pathways/vanted.php]. Metabolites and proteins from this pathway are coloured orange and have a rounded rectangle shape (where an oval shape indicates that the node only occures in the LipidMaps pathway). Reactions occurring in the lipidmaps pathways are coloured orange (where a dashed line indicates that the reaction only occures in the LipidMaps pathway).		9606
WikiPathways	Pathway	WikiPathways:WP1423	Ganglio sphingolipid metabolism		Sphingolipids are metabolites used to make cell-cell and cell-substratum interactions possible. This pathway describes how they are synthesized.		9606
WikiPathways	Pathway	WikiPathways:WP1424	Globo sphingolipid metabolism		Globosides are a type of sphingolipids where a ceramide is linked to at least two sugars, however not to sialic acid.		9606
WikiPathways	Pathway	WikiPathways:WP1425	Bone morphogenic protein signaling and regulation		"""BMP signals are mediated by type I and II BMP receptors and their downstream molecules Smad1, 5 and 8. Phosphorylated Smad1, 5 and 8 proteins form a complex with Smad4 and then are translocated into the nucleus where they interact with other transcription factors, such as Runx2 in osteoblasts."" [http://www.ncbi.nlm.nih.gov/pubmed/15621726 (Chen 2004)].Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP1425 CPTAC Assay Portal]"		9606
WikiPathways	Pathway	WikiPathways:WP143	Fatty acid beta-oxidation		Complete fatty acid beta-oxidation pathway for saturated and unsaturated fatty acids.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP143 CPTAC Assay Portal]		9606
WikiPathways	Pathway	WikiPathways:WP1433	Nucleotide-binding oligomerization domain (NOD) pathway		The NOD (nucleotide-binding oligomerization domain) proteins NOD1 and NOD2 have important roles in innate immunity as sensors of microbial components derived from bacterial peptidoglycan. The importance of these molecules is underscored by the fact that mutations in the gene that encodes NOD2 occur in a subpopulation of patients with Crohn's disease, and NOD1 has also been shown to participate in host defence against infection with Helicobacter pylori.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP1433 CPTAC Assay Portal]		9606
WikiPathways	Pathway	WikiPathways:WP1434	Osteopontin signaling		Study of regulation of promatrix metalloproteinase-9 (MMP-9) by osteopontin (OPN) through IKK signaling pathway.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP1434 CPTAC Assay Portal]		9606
WikiPathways	Pathway	WikiPathways:WP1438	Influenza A virus infection		The Influenza A virus infection pathway provides an overview of the key steps in the infection including virus assembly and release and viral transcription and replication.		9606
WikiPathways	Pathway	WikiPathways:WP1449	Regulation of toll-like receptor signaling pathway		"Toll-like receptors (TLRs) are critical pattern recognition receptors (PRRs) that recognize pathogen-associated molecular patterns (PAMPs), which are conserved and specific molecular ""signatures"" expressed by pathogens. TLR ligation triggers distinct but shared signaling pathways that lead to effector mechanisms in innate immune responses. TLR specificity and activation are strictly and finely tuned at multiple levels of various signal transduction pathways, resulting in complex signaling platforms. Many molecules, ranging from membrane and cytosol to nuclear, contribute to TLR ligand discrimination or receptor signaling and play different roles in the regulation of TLR responses via different mechanisms, such as cross-regulation, protein modification, helper cofactors, and posttranscriptional and epigenetic regulation. [https://www.ncbi.nlm.nih.gov/pubmed/23163321]Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP1449 CPTAC Assay Portal]"		9606
WikiPathways	Pathway	WikiPathways:WP1455	Serotonin transporter activity		Serotonin is a monoamine neurotransmitter. Biochemically derived from tryptophan, serotonin is primarily found in the gastrointestinal tract (GI tract), blood platelets, and the central nervous system (CNS) of animals, including humans. It is popularly thought to be a contributor to feelings of well-being and happiness. This pathway summarizes the role of the antidepressant-sensitive serotonin (5-HT) transporter SERT (encoded by the SLC6A4 gene).		9606
WikiPathways	Pathway	WikiPathways:WP1471	Target of rapamycin signaling		TOR signaling is responsible for a cellular reaction towards nutrient and energy availability and hypoxia/stress. The mammalian Target Of Rapamycin (mTOR), a serine/threonine kinase, is the central regulator that consists in two different complexes: a rapamycin-sensitive complex (mTORC1) consisting of mTOR, Raptor and GbetaL that regulates mRNA translation, ribosome biogenesis and autophagy and a second rapamycin-insensitive complex (mTORC2) consisting of mTOR, Rictor GbetaL, Sin1 and Protor 1/2 that regulates survival and a cytoskeletal response.TOR signaling is highly integrated in other signaling pathways that respond to external conditions, such as the insulin-signaling cascade and AMPK signaling.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP1471 CPTAC Assay Portal]		9606
WikiPathways	Pathway	WikiPathways:WP1495	Glycine metabolism		Glycine is degraded via three pathways. The predominant pathway in animals and plants is the reverse of the glycine synthase pathway. In this context, the enzyme system involved is usually called the glycine cleavage system.In the second pathway, glycine is degraded in two steps. The first step is the reverse of glycine biosynthesis from serine with serine hydroxymethyl transferase. Serine is then converted to pyruvate by serine dehydratase.In the third pathway of glycine degradation, glycine is converted to glyoxylate by D-amino acid oxidase. Glyoxylate is then oxidized by hepatic lactate dehydrogenase to oxalate in an NAD+-dependent reaction.Description source: [https://en.wikipedia.org/wiki/Glycine#Metabolism Wikipedia]		9606
WikiPathways	Pathway	WikiPathways:WP15	Selenium micronutrient network		The selenium-centred micronutrient biological network. The most relevant biochemical processes related to selenium in the context of metabolism, oxidation and inflammation are represented. Also, the compartmental separation (intracellular vs. plasma) is presented, identifying the selenium centred plasma metabolome. A selenoprotein database exists at:  http://www.selenodb.org.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP15 CPTAC Assay Portal]		9606
WikiPathways	Pathway	WikiPathways:WP1528	Physiological and pathological hypertrophy of the heart		Pathways in physiological and pathological hypertrophy of the heart. Largely based on the article from [https://www.ncbi.nlm.nih.gov/pubmed/11714087 Wang et al, 'Signal transduction in cardiac hypertrophy--dissecting compensatory versus pathological pathways utilizing a transgenic approach.]Hypertrohpy of the heart can be a physiological compensation for exercise, but it can also be a pathological compensation for hypertension and stress.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP1528 CPTAC Assay Portal]		9606
WikiPathways	Pathway	WikiPathways:WP1530	miRNA regulation of DNA damage response		This is the first of two pathways which deals with the DNA damage response. It comprises two central gene products (ATM and ATR) influenced by different sources of DNA damage (in blue). The two central genes can both be divides into their most important genes. For the ATM pathway these are TP53 and CHEK2, while CHEK1 is most important for the ATR pathway.The goal of this first pathway is to provide an overview of the most important gene products, processes and changes in cell condition elicited by the DNA damage response while keeping it clear and understandable.Also some microRNAs are implemented to visualize the possible effects they can induce. By doing so a better understanding of the role microRNA play in the DNA damage response might arise.All processes take place in the cytoplasm, except when mentioned differently.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP1530 CPTAC Assay Portal].		9606
WikiPathways	Pathway	WikiPathways:WP1531	Vitamin D metabolism		Photochemical synthesis of vitamin D3 (cholecalciferol, D3) occurs cutaneously where pro-vitamin D3 (7-dehydrocholesterol) is converted to pre-vitamin D3 (pre-D3) in response to ultraviolet B (sunlight) exposure. DHCR7 encodes the enzyme 7-dehydrocholesterol (7-DHC) reductase, which converts 7-DHC to cholesterol, thereby removing the substrate from the synthetic pathway of vitamin D3, a precursor of 25-hydroxyvitamin D3.The finding that common variants at DHCR7 are strongly associated with circulating 25-hydroxyvitamin D concentrations suggests that this enzyme could have a larger role in regulation of vitamin D status than has previously been recognised. Vitamin D3, obtained from the isomerization of pre-vitamin D3 in the epidermal basal layers or intestinal absorption of natural and fortified foods and supplements, binds to vitamin D-binding protein (DBP) in the bloodstream, and is transported to the liver. D3 is hydroxylated by liver 25-hydroxylases (25-OHase). The resultant 25-hydroxycholecalciferol (25(OH)D3) is 1-hydroxylated in the kidney by 25-hydroxyvitamin D3-1 -hydroxylase (1-OHase). This yields the active secosteroid 1 ,25(OH)2D3 (calcitriol), which has different effects on various target tissues. The synthesis of 1,25(OH)2D3 from 25(OH)D3 is stimulated by parathyroid hormone (PTH) and suppressed by Ca2+, Pi and 1,25(OH)2D3 itself. The rate-limiting step in catabolism is the degradation of 25(OH)D3 and 1,25(OH)2D3 to 24,25(OH)D3 and 1,24,25(OH)2D3, respectively,which occurs through 24-hydroxylation by 25-hydroxyvitamin D 24-hydroxylase (24-OHase), encoded by the CYP24A1 gene. 24,25(OH)D3 and 1,24,25(OH)2D3 are consequently excreted. Vitamin D activity is mediated through binding of 1,25(OH)2D3 to the vitamin D receptor (VDR), which can regulate transcription of other genes involved in cell regulation, growth, and immunity. VDR modulates the expression of genes by forming a heterodimer complex with retinoid-X-receptors (RXR).Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP1531 CPTAC Assay Portal].		9606
WikiPathways	Pathway	WikiPathways:WP1533	Vitamin B12 metabolism		"Vitamin B12 is a water soluble, organic compound and essential nutrient involved in the everyday functioning of the nervous system and the brain. Vitamin B12 is involved in the preservation and regeneration of the myelin shealth - the protective fatty layer that acts as an insulator in nerve axons.Animals store vitamin B12 in liver and muscle and therefore eggs, milk, meat, liver are sources of the vitamin.Problems in metabolism of vitamin B12 lead to ""persistent"" lack of energy to perform every day tasks. The genes and pathways highlighted above describe several routes through which genes and metabolites involved in B12 metabolism are interconnected.Central B12 metabolism nodes include folate metabolism and the synthesis of the citric acid cycle intermediates and succinyl-CoA, cyanocobalamin into methylcobalamin conversion, tyrosine nitration and riboflavin pathways.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP1533 CPTAC Assay Portal]."		9606
WikiPathways	Pathway	WikiPathways:WP1539	Angiogenesis		This pathway is a concise and simplified version of the basic proteins involved in angiogenesis. The proces is regulated by hyopoxia, which results in the transcription of eg. VEGF1, FGF2, PDGFbeta, MMP9, MMP2 and Ang1. These proteins bind to their receptors and by doing this they initiate different pathways that result in vessel formation.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP1539 CPTAC Assay Portal]		9606
WikiPathways	Pathway	WikiPathways:WP1541	Energy metabolism		"""The PPARGC1A protein is a transcriptional coactivator that regulates the genes involved in energy metabolism. This protein interacts with the nuclear receptor PPARG, which permits the interaction of this protein with multiple transcription factors. This protein can interact with, and regulate the activities of, cAMP response element binding protein (CREB) and nuclear respiratory factors (NRFs). It provides a direct link between external physiological stimuli and the regulation of mitochondrial  biogenesis, and is a major factor that regulates muscle fiber type determination. This protein may be also involved in controlling blood pressure, regulating cellular cholesterol homoeostasis, and the development of obesity."" Description source: Wikipedia ([[wikipedia:PPARGC1A]])Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP1541 CPTAC Assay Portal]"		9606
WikiPathways	Pathway	WikiPathways:WP1544	MicroRNAs in cardiomyocyte hypertrophy		This pathway shows the role of microRNAs in the process of cardiac hypertrophy.MicroRNA targets were predicted by the TargetScan algorithm, and the predicted interactions are shown in red dashed lines.MicroRNAs are shown as purple rounded rectangles.It is not sure which WNT and frizzled proteins influence cardiac hypertrophy. Though there are strong indications that WNT3A, WNT5A, frizzled1 and frizzled2 play a role in cardiac hypertrophy. Thus these have been added to the pathway instead of all the WNT and frizzled proteins. Experiments which will shed light on this are still being done.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP1544 CPTAC Assay Portal]		9606
WikiPathways	Pathway	WikiPathways:WP1545	miRNAs involved in DNA damage response		"MicroRNA clusters involved in de DNA damage response. Genes they regulated and genes that regulate them. All genes presented in this pathway can also be found in the pathway ""DNA damage response(Homo sapiens)"". More info can be found there.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP1545 CPTAC Assay Portal]."		9606
WikiPathways	Pathway	WikiPathways:WP1559	Transcription factors regulate miRNAs related to cardiac hypertrophy		Transcription Factors that possibly regulate the expression of microRNAs related to cardiac hypertrophy.Interactions found by using TransMir. MicroRNAs are represented by a purple color and a rounded rectangle.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP1559 CPTAC Assay Portal].		9606
WikiPathways	Pathway	WikiPathways:WP1584	Type II diabetes mellitus		"Insulin resistance is strongly associated with type II diabetes. ""Diabetogenic"" factors including FFA, TNFalpha and cellular stress induce insulin resistance through inhibition of IRS1 functions. Serine/threonine phosphorylation, interaction with SOCS, regulation of the expression, modification of the cellular localization, and degradation represent the molecular mechanisms stimulated by them. Various kinases (ERK, JNK, IKKbeta, PKCzeta, PKCtheta and mTOR) are involved in this process.The development of type II diabetes requires impaired beta-cell function. Chronic hyperglycemia has been shown to induce multiple defects in beta-cells. Hyperglycemia has been proposed to lead to large amounts of reactive oxygen species (ROS) in beta-cells, with subsequent damage to cellular components including PDX-1. Loss of PDX-1, a critical regulator of insulin promoter activity, has also been proposed as an important mechanism leading to beta-cell dysfunction. Although there is little doubt as to the importance of genetic factors in type II diabetes, genetic analysis is difficult due to complex interaction among multiple susceptibility genes and between genetic and environmental factors. Genetic studies have therefore given very diverse results. Kir6.2 and IRS are two of the candidate genes. It is known that Kir6.2 and IRS play central roles in insulin secretion and insulin signal transmission, respectively.Source: [http://www.kegg.jp/dbget-bin/www_bget?pathway+map04930 KEGG]Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP1584 CPTAC Assay Portal]."		9606
WikiPathways	Pathway	WikiPathways:WP1589	Folate-alcohol and cancer pathway hypotheses		"As described in Hwang, et al., ""The interaction of folate and alcohol consumption has been shown to have an antagonistic effect on the risk of oral cancer. Studies have demonstrated that increased intake of folate decreases the risk of oral cancer, while greater alcohol consumption has an opposite effect."" This pathway is a hypothetical model for a causal role for P450 2E1 (CYP2E1) and aldehyde dehydrogenase 1 (ALDH1) in oral cancers, implicating folate (via SAM) and alcohol."		9606
WikiPathways	Pathway	WikiPathways:WP1591	Heart development		This pathway has been largely adapted from an article by Deepak Srivastava, Cell. 2006 Sep 22;126(6):1037-48. In this pathway are known transcription factors, miRNAs, and regulatory proteins that impact the regional specificity of the human heart. Activating signals are indicated by arrows while inhibitory signals are indicated by T-bars. Special thanks to Kim Cordes for her assistance in revising this pathway, based on recent heart development research.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP1591 CPTAC Assay Portal]		9606
