source_id	source_type	target_id	target_type	source_name	target_name	relation_type	ttd_gene_id	ttd_pathway_id	resource
SYMBOL:MDM2	Gene	WikiPathways:WP2653	Pathway	MDM2	PIP3 activates AKT signaling	Hetionet::GpPW::Gene:Pathway	T00176	WP2653	TTD
SYMBOL:MDM2	Gene	WikiPathways:WP254	Pathway	MDM2	Apoptosis	Hetionet::GpPW::Gene:Pathway	T00176	WP254	TTD
SYMBOL:MDM2	Gene	WikiPathways:WP2516	Pathway	MDM2	ATM Signaling Pathway	Hetionet::GpPW::Gene:Pathway	T00176	WP2516	TTD
SYMBOL:MDM2	Gene	WikiPathways:WP2446	Pathway	MDM2	Retinoblastoma (RB) in Cancer	Hetionet::GpPW::Gene:Pathway	T00176	WP2446	TTD
SYMBOL:MDM2	Gene	WikiPathways:WP2377	Pathway	MDM2	Integrated Pancreatic Cancer Pathway	Hetionet::GpPW::Gene:Pathway	T00176	WP2377	TTD
SYMBOL:MDM2	Gene	WikiPathways:WP2263	Pathway	MDM2	Prostate Cancer	Hetionet::GpPW::Gene:Pathway	T00176	WP2263	TTD
SYMBOL:MDM2	Gene	WikiPathways:WP2261	Pathway	MDM2	Signaling Pathways in Glioblastoma	Hetionet::GpPW::Gene:Pathway	T00176	WP2261	TTD
SYMBOL:MDM2	Gene	WikiPathways:WP1984	Pathway	MDM2	Integrated Breast Cancer Pathway	Hetionet::GpPW::Gene:Pathway	T00176	WP1984	TTD
SYMBOL:MDM2	Gene	WikiPathways:WP1971	Pathway	MDM2	Integrated Cancer pathway	Hetionet::GpPW::Gene:Pathway	T00176	WP1971	TTD
SYMBOL:MDM2	Gene	WikiPathways:WP179	Pathway	MDM2	Cell Cycle	Hetionet::GpPW::Gene:Pathway	T00176	WP179	TTD
SYMBOL:MDM2	Gene	WikiPathways:WP1775	Pathway	MDM2	Cell Cycle Checkpoints	Hetionet::GpPW::Gene:Pathway	T00176	WP1775	TTD
SYMBOL:MDM2	Gene	WikiPathways:WP1742	Pathway	MDM2	TP53 Network	Hetionet::GpPW::Gene:Pathway	T00176	WP1742	TTD
SYMBOL:MDM2	Gene	WikiPathways:WP1530	Pathway	MDM2	miRNA Regulation of DNA Damage Response	Hetionet::GpPW::Gene:Pathway	T00176	WP1530	TTD
SYMBOL:MDM2	Gene	WikiPathways:WP138	Pathway	MDM2	Androgen receptor signaling pathway	Hetionet::GpPW::Gene:Pathway	T00176	WP138	TTD
SYMBOL:NFKB2	Gene	WikiPathways:WP75	Pathway	NFKB2	Toll-like receptor signaling pathway	Hetionet::GpPW::Gene:Pathway	T00238	WP75	TTD
SYMBOL:NFKB2	Gene	WikiPathways:WP710	Pathway	NFKB2	DNA Damage Response (only ATM dependent)	Hetionet::GpPW::Gene:Pathway	T00238	WP710	TTD
SYMBOL:NFKB2	Gene	WikiPathways:WP706	Pathway	NFKB2	SIDS Susceptibility Pathways	Hetionet::GpPW::Gene:Pathway	T00238	WP706	TTD
SYMBOL:NFKB2	Gene	WikiPathways:WP2794	Pathway	NFKB2	Cytosolic sensors of pathogen-associated DNA	Hetionet::GpPW::Gene:Pathway	T00238	WP2794	TTD
SYMBOL:NFKB2	Gene	WikiPathways:WP2656	Pathway	NFKB2	TAK1 activates NFkB by phosphorylation and activation of IKKs complex	Hetionet::GpPW::Gene:Pathway	T00238	WP2656	TTD
SYMBOL:NFKB2	Gene	WikiPathways:WP262	Pathway	NFKB2	EBV LMP1 signaling	Hetionet::GpPW::Gene:Pathway	T00238	WP262	TTD
SYMBOL:NFKB2	Gene	WikiPathways:WP231	Pathway	NFKB2	TNF alpha Signaling Pathway	Hetionet::GpPW::Gene:Pathway	T00238	WP231	TTD
SYMBOL:NFKB2	Gene	WikiPathways:WP2203	Pathway	NFKB2	TSLP Signaling Pathway	Hetionet::GpPW::Gene:Pathway	T00238	WP2203	TTD
SYMBOL:NFKB2	Gene	WikiPathways:WP2064	Pathway	NFKB2	Neural Crest Differentiation	Hetionet::GpPW::Gene:Pathway	T00238	WP2064	TTD
SYMBOL:NFKB2	Gene	WikiPathways:WP2036	Pathway	NFKB2	TWEAK Signaling Pathway	Hetionet::GpPW::Gene:Pathway	T00238	WP2036	TTD
SYMBOL:NFKB2	Gene	WikiPathways:WP2018	Pathway	NFKB2	RANKL/RANK Signaling Pathway	Hetionet::GpPW::Gene:Pathway	T00238	WP2018	TTD
SYMBOL:NFKB2	Gene	WikiPathways:WP1904	Pathway	NFKB2	RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways	Hetionet::GpPW::Gene:Pathway	T00238	WP1904	TTD
SYMBOL:NFKB2	Gene	WikiPathways:WP1838	Pathway	NFKB2	Interleukin-1 processing	Hetionet::GpPW::Gene:Pathway	T00238	WP1838	TTD
SYMBOL:NFKB2	Gene	WikiPathways:WP176	Pathway	NFKB2	Folate Metabolism	Hetionet::GpPW::Gene:Pathway	T00238	WP176	TTD
SYMBOL:NFKB2	Gene	WikiPathways:WP1533	Pathway	NFKB2	Vitamin B12 Metabolism	Hetionet::GpPW::Gene:Pathway	T00238	WP1533	TTD
SYMBOL:NFKB2	Gene	WikiPathways:WP15	Pathway	NFKB2	Selenium Micronutrient Network	Hetionet::GpPW::Gene:Pathway	T00238	WP15	TTD
SYMBOL:NFKB2	Gene	WikiPathways:WP1449	Pathway	NFKB2	Regulation of toll-like receptor signaling pathway	Hetionet::GpPW::Gene:Pathway	T00238	WP1449	TTD
SYMBOL:IL4	Gene	WikiPathways:WP530	Pathway	IL4	Cytokines and Inflammatory Response	Hetionet::GpPW::Gene:Pathway	T00239	WP530	TTD
SYMBOL:IL4	Gene	WikiPathways:WP453	Pathway	IL4	Inflammatory Response Pathway	Hetionet::GpPW::Gene:Pathway	T00239	WP453	TTD
SYMBOL:IL4	Gene	WikiPathways:WP395	Pathway	IL4	IL-4 Signaling Pathway	Hetionet::GpPW::Gene:Pathway	T00239	WP395	TTD
SYMBOL:IL4	Gene	WikiPathways:WP2431	Pathway	IL4	Spinal Cord Injury	Hetionet::GpPW::Gene:Pathway	T00239	WP2431	TTD
SYMBOL:IL4	Gene	WikiPathways:WP2328	Pathway	IL4	Allograft Rejection	Hetionet::GpPW::Gene:Pathway	T00239	WP2328	TTD
SYMBOL:IL4	Gene	WikiPathways:WP176	Pathway	IL4	Folate Metabolism	Hetionet::GpPW::Gene:Pathway	T00239	WP176	TTD
SYMBOL:CHRNA5	Gene	WikiPathways:WP2754	Pathway	CHRNA5	Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell	Hetionet::GpPW::Gene:Pathway	T00299	WP2754	TTD
SYMBOL:CHRNA5	Gene	WikiPathways:WP1602	Pathway	CHRNA5	Nicotine Activity on Dopaminergic Neurons	Hetionet::GpPW::Gene:Pathway	T00299	WP1602	TTD
SYMBOL:TNNC2	Gene	WikiPathways:WP383	Pathway	TNNC2	Striated Muscle Contraction	Hetionet::GpPW::Gene:Pathway	T00419	WP383	TTD
SYMBOL:TNNC2	Gene	WikiPathways:WP1864	Pathway	TNNC2	Muscle contraction	Hetionet::GpPW::Gene:Pathway	T00419	WP1864	TTD
SYMBOL:HIV rev	Gene	WikiPathways:WP2684	Pathway	HIV rev	Host Interactions of HIV factors	Hetionet::GpPW::Gene:Pathway	T00420	WP2684	TTD
SYMBOL:HIV rev	Gene	WikiPathways:WP2658	Pathway	HIV rev	HIV Life Cycle	Hetionet::GpPW::Gene:Pathway	T00420	WP2658	TTD
SYMBOL:ABCA1	Gene	WikiPathways:WP430	Pathway	ABCA1	Statin Pathway	Hetionet::GpPW::Gene:Pathway	T00494	WP430	TTD
SYMBOL:ABCA1	Gene	WikiPathways:WP299	Pathway	ABCA1	Nuclear Receptors in Lipid Metabolism and Toxicity	Hetionet::GpPW::Gene:Pathway	T00494	WP299	TTD
SYMBOL:ABCA1	Gene	WikiPathways:WP2797	Pathway	ABCA1	Regulation of Lipid Metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)	Hetionet::GpPW::Gene:Pathway	T00494	WP2797	TTD
SYMBOL:ABCA1	Gene	WikiPathways:WP2764	Pathway	ABCA1	Lipid digestion, mobilization, and transport	Hetionet::GpPW::Gene:Pathway	T00494	WP2764	TTD
SYMBOL:ABCA1	Gene	WikiPathways:WP2011	Pathway	ABCA1	SREBF and miR33 in cholesterol and lipid homeostasis	Hetionet::GpPW::Gene:Pathway	T00494	WP2011	TTD
SYMBOL:ABCA1	Gene	WikiPathways:WP176	Pathway	ABCA1	Folate Metabolism	Hetionet::GpPW::Gene:Pathway	T00494	WP176	TTD
SYMBOL:ABCA1	Gene	WikiPathways:WP1533	Pathway	ABCA1	Vitamin B12 Metabolism	Hetionet::GpPW::Gene:Pathway	T00494	WP1533	TTD
SYMBOL:ABCA1	Gene	WikiPathways:WP15	Pathway	ABCA1	Selenium Micronutrient Network	Hetionet::GpPW::Gene:Pathway	T00494	WP15	TTD
SYMBOL:MAPK10	Gene	WikiPathways:WP75	Pathway	MAPK10	Toll-like receptor signaling pathway	Hetionet::GpPW::Gene:Pathway	T00663	WP75	TTD
SYMBOL:MAPK10	Gene	WikiPathways:WP710	Pathway	MAPK10	DNA Damage Response (only ATM dependent)	Hetionet::GpPW::Gene:Pathway	T00663	WP710	TTD
SYMBOL:MAPK10	Gene	WikiPathways:WP524	Pathway	MAPK10	G13 Signaling Pathway	Hetionet::GpPW::Gene:Pathway	T00663	WP524	TTD
SYMBOL:MAPK10	Gene	WikiPathways:WP481	Pathway	MAPK10	Insulin Signaling	Hetionet::GpPW::Gene:Pathway	T00663	WP481	TTD
SYMBOL:MAPK10	Gene	WikiPathways:WP428	Pathway	MAPK10	Wnt Signaling Pathway	Hetionet::GpPW::Gene:Pathway	T00663	WP428	TTD
SYMBOL:MAPK10	Gene	WikiPathways:WP422	Pathway	MAPK10	MAPK Cascade	Hetionet::GpPW::Gene:Pathway	T00663	WP422	TTD
SYMBOL:MAPK10	Gene	WikiPathways:WP408	Pathway	MAPK10	Oxidative Stress	Hetionet::GpPW::Gene:Pathway	T00663	WP408	TTD
SYMBOL:MAPK10	Gene	WikiPathways:WP399	Pathway	MAPK10	Wnt Signaling Pathway and Pluripotency	Hetionet::GpPW::Gene:Pathway	T00663	WP399	TTD
SYMBOL:MAPK10	Gene	WikiPathways:WP384	Pathway	MAPK10	Apoptosis Modulation by HSP70	Hetionet::GpPW::Gene:Pathway	T00663	WP384	TTD
SYMBOL:MAPK10	Gene	WikiPathways:WP382	Pathway	MAPK10	MAPK Signaling Pathway	Hetionet::GpPW::Gene:Pathway	T00663	WP382	TTD
SYMBOL:MAPK10	Gene	WikiPathways:WP2643	Pathway	MAPK10	Nanoparticle-mediated activation of receptor signaling	Hetionet::GpPW::Gene:Pathway	T00663	WP2643	TTD
SYMBOL:MAPK10	Gene	WikiPathways:WP2637	Pathway	MAPK10	Structural Pathway of Interleukin 1 (IL-1)	Hetionet::GpPW::Gene:Pathway	T00663	WP2637	TTD
SYMBOL:MAPK10	Gene	WikiPathways:WP254	Pathway	MAPK10	Apoptosis	Hetionet::GpPW::Gene:Pathway	T00663	WP254	TTD
SYMBOL:MAPK10	Gene	WikiPathways:WP2380	Pathway	MAPK10	BDNF signaling pathway	Hetionet::GpPW::Gene:Pathway	T00663	WP2380	TTD
SYMBOL:MAPK10	Gene	WikiPathways:WP185	Pathway	MAPK10	Integrin-mediated Cell Adhesion	Hetionet::GpPW::Gene:Pathway	T00663	WP185	TTD
SYMBOL:MAPK10	Gene	WikiPathways:WP1449	Pathway	MAPK10	Regulation of toll-like receptor signaling pathway	Hetionet::GpPW::Gene:Pathway	T00663	WP1449	TTD
SYMBOL:KCNJ11	Gene	WikiPathways:WP2669	Pathway	KCNJ11	Potassium Channels	Hetionet::GpPW::Gene:Pathway	T00820	WP2669	TTD
SYMBOL:KCNJ11	Gene	WikiPathways:WP1831	Pathway	KCNJ11	Integration of energy metabolism	Hetionet::GpPW::Gene:Pathway	T00820	WP1831	TTD
SYMBOL:KCNJ11	Gene	WikiPathways:WP1584	Pathway	KCNJ11	Type II diabetes mellitus	Hetionet::GpPW::Gene:Pathway	T00820	WP1584	TTD
SYMBOL:CXCR1	Gene	WikiPathways:WP455	Pathway	CXCR1	GPCRs, Class A Rhodopsin-like	Hetionet::GpPW::Gene:Pathway	T00884	WP455	TTD
SYMBOL:CXCR1	Gene	WikiPathways:WP2848	Pathway	CXCR1	Differentiation Pathway	Hetionet::GpPW::Gene:Pathway	T00884	WP2848	TTD
SYMBOL:CXCR1	Gene	WikiPathways:WP24	Pathway	CXCR1	Peptide GPCRs	Hetionet::GpPW::Gene:Pathway	T00884	WP24	TTD
SYMBOL:CXCR1	Gene	WikiPathways:WP1825	Pathway	CXCR1	GPCR ligand binding	Hetionet::GpPW::Gene:Pathway	T00884	WP1825	TTD
SYMBOL:CXCR1	Gene	WikiPathways:WP1824	Pathway	CXCR1	GPCR downstream signaling	Hetionet::GpPW::Gene:Pathway	T00884	WP1824	TTD
SYMBOL:CXCR1	Gene	WikiPathways:WP117	Pathway	CXCR1	GPCRs, Other	Hetionet::GpPW::Gene:Pathway	T00884	WP117	TTD
SYMBOL:PRKCE	Gene	WikiPathways:WP666	Pathway	PRKCE	Hypothetical Network for Drug Addiction	Hetionet::GpPW::Gene:Pathway	T00895	WP666	TTD
SYMBOL:PRKCE	Gene	WikiPathways:WP536	Pathway	PRKCE	Calcium Regulation in the Cardiac Cell	Hetionet::GpPW::Gene:Pathway	T00895	WP536	TTD
SYMBOL:PRKCE	Gene	WikiPathways:WP428	Pathway	PRKCE	Wnt Signaling Pathway	Hetionet::GpPW::Gene:Pathway	T00895	WP428	TTD
SYMBOL:PRKCE	Gene	WikiPathways:WP399	Pathway	PRKCE	Wnt Signaling Pathway and Pluripotency	Hetionet::GpPW::Gene:Pathway	T00895	WP399	TTD
SYMBOL:PRKCE	Gene	WikiPathways:WP35	Pathway	PRKCE	G Protein Signaling Pathways	Hetionet::GpPW::Gene:Pathway	T00895	WP35	TTD
SYMBOL:PRKCE	Gene	WikiPathways:WP289	Pathway	PRKCE	Myometrial Relaxation and Contraction Pathways	Hetionet::GpPW::Gene:Pathway	T00895	WP289	TTD
SYMBOL:PRKCE	Gene	WikiPathways:WP2374	Pathway	PRKCE	Oncostatin M Signaling Pathway	Hetionet::GpPW::Gene:Pathway	T00895	WP2374	TTD
SYMBOL:PRKCE	Gene	WikiPathways:WP2012	Pathway	PRKCE	miRs in Muscle Cell Differentiation	Hetionet::GpPW::Gene:Pathway	T00895	WP2012	TTD
SYMBOL:PRKCE	Gene	WikiPathways:WP1824	Pathway	PRKCE	GPCR downstream signaling	Hetionet::GpPW::Gene:Pathway	T00895	WP1824	TTD
SYMBOL:PRKCE	Gene	WikiPathways:WP1809	Pathway	PRKCE	Effects of PIP2 hydrolysis	Hetionet::GpPW::Gene:Pathway	T00895	WP1809	TTD
SYMBOL:PRKCE	Gene	WikiPathways:WP1528	Pathway	PRKCE	Physiological and Pathological Hypertrophy  of the Heart	Hetionet::GpPW::Gene:Pathway	T00895	WP1528	TTD
SYMBOL:NTF4	Gene	WikiPathways:WP382	Pathway	NTF4	MAPK Signaling Pathway	Hetionet::GpPW::Gene:Pathway	T00902	WP382	TTD
SYMBOL:NTF4	Gene	WikiPathways:WP2848	Pathway	NTF4	Differentiation Pathway	Hetionet::GpPW::Gene:Pathway	T00902	WP2848	TTD
SYMBOL:TSG101	Gene	WikiPathways:WP2658	Pathway	TSG101	HIV Life Cycle	Hetionet::GpPW::Gene:Pathway	T01283	WP2658	TTD
SYMBOL:TSG101	Gene	WikiPathways:WP1846	Pathway	TSG101	Membrane Trafficking	Hetionet::GpPW::Gene:Pathway	T01283	WP1846	TTD
SYMBOL:Malaria DHOdehase	Gene	WikiPathways:WP1851	Pathway	Malaria DHOdehase	Metabolism of nucleotides	Hetionet::GpPW::Gene:Pathway	T01318	WP1851	TTD
SYMBOL:SGPL1	Gene	WikiPathways:WP2788	Pathway	SGPL1	Sphingolipid metabolism	Hetionet::GpPW::Gene:Pathway	T01575	WP2788	TTD
SYMBOL:CAT	Gene	WikiPathways:WP710	Pathway	CAT	DNA Damage Response (only ATM dependent)	Hetionet::GpPW::Gene:Pathway	T01597	WP710	TTD
SYMBOL:CAT	Gene	WikiPathways:WP465	Pathway	CAT	Tryptophan metabolism	Hetionet::GpPW::Gene:Pathway	T01597	WP465	TTD
SYMBOL:CAT	Gene	WikiPathways:WP408	Pathway	CAT	Oxidative Stress	Hetionet::GpPW::Gene:Pathway	T01597	WP408	TTD
SYMBOL:CAT	Gene	WikiPathways:WP2824	Pathway	CAT	Detoxification of Reactive Oxygen Species	Hetionet::GpPW::Gene:Pathway	T01597	WP2824	TTD
SYMBOL:CAT	Gene	WikiPathways:WP2447	Pathway	CAT	Amyotrophic lateral sclerosis (ALS)	Hetionet::GpPW::Gene:Pathway	T01597	WP2447	TTD
SYMBOL:CAT	Gene	WikiPathways:WP1851	Pathway	CAT	Metabolism of nucleotides	Hetionet::GpPW::Gene:Pathway	T01597	WP1851	TTD
SYMBOL:CAT	Gene	WikiPathways:WP176	Pathway	CAT	Folate Metabolism	Hetionet::GpPW::Gene:Pathway	T01597	WP176	TTD
SYMBOL:CAT	Gene	WikiPathways:WP15	Pathway	CAT	Selenium Micronutrient Network	Hetionet::GpPW::Gene:Pathway	T01597	WP15	TTD
SYMBOL:ADRA2C	Gene	WikiPathways:WP58	Pathway	ADRA2C	Monoamine GPCRs	Hetionet::GpPW::Gene:Pathway	T01777	WP58	TTD
SYMBOL:ADRA2C	Gene	WikiPathways:WP455	Pathway	ADRA2C	GPCRs, Class A Rhodopsin-like	Hetionet::GpPW::Gene:Pathway	T01777	WP455	TTD
SYMBOL:ADRA2C	Gene	WikiPathways:WP1884	Pathway	ADRA2C	Platelet Aggregation (Plug Formation)	Hetionet::GpPW::Gene:Pathway	T01777	WP1884	TTD
SYMBOL:ADRA2C	Gene	WikiPathways:WP1831	Pathway	ADRA2C	Integration of energy metabolism	Hetionet::GpPW::Gene:Pathway	T01777	WP1831	TTD
SYMBOL:ADRA2C	Gene	WikiPathways:WP1825	Pathway	ADRA2C	GPCR ligand binding	Hetionet::GpPW::Gene:Pathway	T01777	WP1825	TTD
SYMBOL:ADRA2C	Gene	WikiPathways:WP1824	Pathway	ADRA2C	GPCR downstream signaling	Hetionet::GpPW::Gene:Pathway	T01777	WP1824	TTD
SYMBOL:ITGB1	Gene	WikiPathways:WP366	Pathway	ITGB1	TGF beta Signaling Pathway	Hetionet::GpPW::Gene:Pathway	T01851	WP366	TTD
SYMBOL:ITGB1	Gene	WikiPathways:WP313	Pathway	ITGB1	Signaling of Hepatocyte Growth Factor Receptor	Hetionet::GpPW::Gene:Pathway	T01851	WP313	TTD
SYMBOL:ITGB1	Gene	WikiPathways:WP306	Pathway	ITGB1	Focal Adhesion	Hetionet::GpPW::Gene:Pathway	T01851	WP306	TTD
SYMBOL:ITGB1	Gene	WikiPathways:WP2839	Pathway	ITGB1	Hair Follicle Development: Organogenesis (Part 2 of 3)	Hetionet::GpPW::Gene:Pathway	T01851	WP2839	TTD
SYMBOL:ITGB1	Gene	WikiPathways:WP2703	Pathway	ITGB1	Extracellular matrix organization	Hetionet::GpPW::Gene:Pathway	T01851	WP2703	TTD
SYMBOL:ITGB1	Gene	WikiPathways:WP2666	Pathway	ITGB1	Elastic fibre formation	Hetionet::GpPW::Gene:Pathway	T01851	WP2666	TTD
SYMBOL:ITGB1	Gene	WikiPathways:WP2643	Pathway	ITGB1	Nanoparticle-mediated activation of receptor signaling	Hetionet::GpPW::Gene:Pathway	T01851	WP2643	TTD
SYMBOL:ITGB1	Gene	WikiPathways:WP2593	Pathway	ITGB1	JAK/STAT	Hetionet::GpPW::Gene:Pathway	T01851	WP2593	TTD
SYMBOL:ITGB1	Gene	WikiPathways:WP2572	Pathway	ITGB1	Primary Focal Segmental Glomerulosclerosis FSGS	Hetionet::GpPW::Gene:Pathway	T01851	WP2572	TTD
SYMBOL:ITGB1	Gene	WikiPathways:WP2272	Pathway	ITGB1	Pathogenic Escherichia coli infection	Hetionet::GpPW::Gene:Pathway	T01851	WP2272	TTD
SYMBOL:ITGB1	Gene	WikiPathways:WP2118	Pathway	ITGB1	Arrhythmogenic Right Ventricular Cardiomyopathy	Hetionet::GpPW::Gene:Pathway	T01851	WP2118	TTD
SYMBOL:ITGB1	Gene	WikiPathways:WP2064	Pathway	ITGB1	Neural Crest Differentiation	Hetionet::GpPW::Gene:Pathway	T01851	WP2064	TTD
SYMBOL:ITGB1	Gene	WikiPathways:WP1907	Pathway	ITGB1	Semaphorin interactions	Hetionet::GpPW::Gene:Pathway	T01851	WP1907	TTD
SYMBOL:ITGB1	Gene	WikiPathways:WP1883	Pathway	ITGB1	Platelet Adhesion to exposed collagen	Hetionet::GpPW::Gene:Pathway	T01851	WP1883	TTD
SYMBOL:ITGB1	Gene	WikiPathways:WP185	Pathway	ITGB1	Integrin-mediated Cell Adhesion	Hetionet::GpPW::Gene:Pathway	T01851	WP185	TTD
SYMBOL:ITGB1	Gene	WikiPathways:WP1843	Pathway	ITGB1	L1CAM interactions	Hetionet::GpPW::Gene:Pathway	T01851	WP1843	TTD
SYMBOL:ITGB1	Gene	WikiPathways:WP1833	Pathway	ITGB1	Integrin cell surface interactions	Hetionet::GpPW::Gene:Pathway	T01851	WP1833	TTD
SYMBOL:ITGB1	Gene	WikiPathways:WP1829	Pathway	ITGB1	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	Hetionet::GpPW::Gene:Pathway	T01851	WP1829	TTD
SYMBOL:ITGB1	Gene	WikiPathways:WP1794	Pathway	ITGB1	Cell surface interactions at the vascular wall	Hetionet::GpPW::Gene:Pathway	T01851	WP1794	TTD
SYMBOL:ITGB1	Gene	WikiPathways:WP1793	Pathway	ITGB1	Cell junction organization	Hetionet::GpPW::Gene:Pathway	T01851	WP1793	TTD
SYMBOL:KLK2	Gene	WikiPathways:WP2263	Pathway	KLK2	Prostate Cancer	Hetionet::GpPW::Gene:Pathway	T01908	WP2263	TTD
SYMBOL:PDE4D	Gene	WikiPathways:WP35	Pathway	PDE4D	G Protein Signaling Pathways	Hetionet::GpPW::Gene:Pathway	T02001	WP35	TTD
SYMBOL:PDE4D	Gene	WikiPathways:WP289	Pathway	PDE4D	Myometrial Relaxation and Contraction Pathways	Hetionet::GpPW::Gene:Pathway	T02001	WP289	TTD
SYMBOL:PDE4D	Gene	WikiPathways:WP2032	Pathway	PDE4D	TSH signaling pathway	Hetionet::GpPW::Gene:Pathway	T02001	WP2032	TTD
SYMBOL:GCLM	Gene	WikiPathways:WP3	Pathway	GCLM	Transcriptional activation by NRF2	Hetionet::GpPW::Gene:Pathway	T02134	WP3	TTD
SYMBOL:GCLM	Gene	WikiPathways:WP2884	Pathway	GCLM	NRF2 pathway	Hetionet::GpPW::Gene:Pathway	T02134	WP2884	TTD
SYMBOL:GCLM	Gene	WikiPathways:WP2882	Pathway	GCLM	Nuclear Receptors Meta-Pathway	Hetionet::GpPW::Gene:Pathway	T02134	WP2882	TTD
SYMBOL:GCLM	Gene	WikiPathways:WP2693	Pathway	GCLM	Metabolism of amino acids and derivatives	Hetionet::GpPW::Gene:Pathway	T02134	WP2693	TTD
SYMBOL:GCLM	Gene	WikiPathways:WP2525	Pathway	GCLM	Trans-sulfuration and one carbon metabolism	Hetionet::GpPW::Gene:Pathway	T02134	WP2525	TTD
SYMBOL:GCLM	Gene	WikiPathways:WP2333	Pathway	GCLM	Trans-sulfuration pathway	Hetionet::GpPW::Gene:Pathway	T02134	WP2333	TTD
SYMBOL:GCLM	Gene	WikiPathways:WP1880	Pathway	GCLM	Phase II conjugation	Hetionet::GpPW::Gene:Pathway	T02134	WP1880	TTD
